portfolio_asset_id,country,sub_region_name,development_status,property_type_code,asset_size_m2,en_abs,en_int_kwh_m2
870234,41,9,1,241,14097.565735,2462529.96,174.677671754797
870245,41,9,1,241,6410.307,1689050.32,263.489770458732
870256,41,9,1,241,3194.00514,1431974.49,448.331930361264
870271,41,9,1,241,3775.113405,535102.24,141.744679587976
870273,41,9,1,241,7644.98787,878198.52,114.872454336543
870274,41,9,1,241,7649.63302,1608081.67,210.216838611168
870293,41,9,1,241,12365.3893,2745646.24,222.04284664131
870297,41,9,1,241,11397.154234,2158845.77,189.419720543899
870308,41,9,1,241,6193.564301,2355432.93,380.303297992676
870333,41,9,1,241,17192.814986,3838390.62,223.255506624458
870341,41,9,1,241,7237.701118,2060928.33,284.749024089226
870343,41,9,1,241,5738.61831,1232535.36,214.779114661139
870345,41,9,1,241,7060.442194,1533465.14,217.191090566983
870382,41,9,1,241,2375.065195,814174.11,342.800741518171
870384,41,9,1,241,10623.922565,666310.94,62.717977839478
870390,41,9,1,241,9877.44696,654872.13,66.2997364250084
870407,41,9,1,241,11787.161028,2986956.02,253.407585838913
870412,41,9,1,241,6115.80449,463696.84,75.8194348361192
870433,41,9,1,241,10219.33,2358165.27,230.75536948117
870435,41,9,1,241,4496.5052,1086624.94,241.659887327607
870436,41,9,1,241,11148.36,2281541.0,204.652612581582
870437,41,9,1,241,9290.3,1613511.63,173.677021194149
870438,41,9,1,241,5481.277,1093108.66,199.425911151726
870439,41,9,1,241,4273.538,816455.89,191.049170499946
870443,41,9,1,241,8593.5275,2439998.81,283.934485576499
870446,41,9,1,241,4710.739518,131128.52,27.8360795579867
870463,41,9,1,241,13452.3544,842200.07,62.6061464749992
870484,41,9,1,241,5520.667872,1455821.12,263.703804277686
870485,41,9,1,241,5520.667872,477226.48,86.4436135382136
870626,41,9,1,241,5285.158767,1755884.87,332.22935155015
870628,41,9,1,241,4199.2156,899629.37,214.237480447539
870630,41,9,1,241,12729.197448,1489496.22,117.014150034575
870634,41,9,1,241,11438.21736,3087547.52,269.932579773952
870635,41,9,1,241,5499.8576,1771102.86,322.027039390983
870636,41,9,1,241,7100.018872,1635333.69,230.328076513879
888136,41,9,1,241,3846.1842,830970.01,216.050497529473
888138,41,9,1,241,3846.1842,857661.51,222.990232761083
888139,41,9,1,241,3846.1842,802972.51,208.77120497765
888156,41,9,1,241,5217.060868,1329581.95,254.852681162929
888165,41,9,1,241,3606.029945,995207.55,275.984272227113
888171,41,9,1,241,2341.1556,831068.11,354.982005467727
888172,41,9,1,241,2341.1556,716274.58,305.94915604926
888173,41,9,1,241,2341.1556,651630.16,278.336971707476
888177,41,9,1,241,10377.915421,2562704.91,246.93831140831
888184,41,9,1,241,7989.658,990447.49,123.966193546708
888186,41,9,1,241,4645.15,519175.48,111.767215267537
